scenario,old_accuracy,old_macro_f1,old_mae,old_pearson,optimized_accuracy,optimized_macro_f1,optimized_mae,optimized_pearson,accuracy_gain,macro_f1_gain,mae_reduction
audio_front_70,0.4519230769230769,0.4481868989943343,0.7233909964561462,0.4388866431245726,0.5755494505494505,0.5475396001851373,0.6710675358772278,0.5406982220157059,0.12362637362637358,0.09935270119080297,0.05232346057891846
audio_middle_10,0.49862637362637363,0.4960079698285063,0.7211143374443054,0.451075856848249,0.5810439560439561,0.5493278847509634,0.6743529438972473,0.5463154888764838,0.08241758241758246,0.05331991492245708,0.046761393547058105
audio_middle_25,0.49313186813186816,0.4916074784632986,0.7193337678909302,0.45281088154508375,0.5906593406593407,0.5592720478131882,0.6723648905754089,0.5488769191329572,0.09752747252747251,0.06766456934988957,0.04696887731552124
audio_middle_40,0.4945054945054945,0.4900658749454701,0.7179449796676636,0.4519934932620315,0.5879120879120879,0.5578475197119265,0.6712866425514221,0.5490868264309274,0.09340659340659341,0.06778164476645637,0.046658337116241455
audio_middle_55,0.47802197802197804,0.4743786475647845,0.7179993987083435,0.45098907051744175,0.5934065934065934,0.5653697526021131,0.6694992184638977,0.549534167593074,0.11538461538461536,0.0909911050373286,0.0485001802444458
audio_middle_70,0.4793956043956044,0.47541915106406146,0.7156606912612915,0.4558672695637775,0.6016483516483516,0.5731568992275523,0.6635616421699524,0.5534506631921075,0.12225274725274721,0.09773774816349085,0.05209904909133911
audio_back_10,0.49175824175824173,0.48866727791277276,0.7268086671829224,0.442492604303611,0.5782967032967034,0.5460679960604528,0.6756041049957275,0.5472637465623423,0.08653846153846162,0.05740071814768,0.051204562187194824
audio_back_25,0.4848901098901099,0.48227254446633444,0.7246056795120239,0.4440753471101375,0.5865384615384616,0.5553882507014946,0.6715055108070374,0.5499447464074402,0.10164835164835168,0.07311570623516012,0.05310016870498657
audio_back_40,0.4766483516483517,0.4725342090859332,0.7211291193962097,0.4447594503918756,0.5892857142857143,0.5595070407830872,0.6736057996749878,0.5492780007942345,0.11263736263736263,0.08697283169715403,0.047523319721221924
audio_back_55,0.46565934065934067,0.46418713745508206,0.7156586647033691,0.4488797221833531,0.5851648351648352,0.5563007079364414,0.6680257320404053,0.5520963169114719,0.11950549450549453,0.09211357048135932,0.04763293266296387
audio_back_70,0.46565934065934067,0.46163287811952386,0.7090097665786743,0.45718652525128506,0.5961538461538461,0.5654901039694527,0.6619064211845398,0.5583001179799715,0.13049450549450547,0.10385722584992879,0.04710334539413452
vision_front_10,0.4945054945054945,0.4919789207522292,0.727719247341156,0.44262401043668026,0.5741758241758241,0.540886674806255,0.6771909594535828,0.5438877010585313,0.07967032967032961,0.048907754054025754,0.05052828788757324
vision_front_25,0.4945054945054945,0.4926825040229262,0.7271334528923035,0.44371794130105874,0.5755494505494505,0.5442989186867834,0.6738472580909729,0.5457064252407374,0.08104395604395598,0.05161641466385719,0.053286194801330566
vision_front_40,0.489010989010989,0.48681465914276667,0.7291246056556702,0.44099002149841793,0.5782967032967034,0.5469410591354692,0.6733983755111694,0.5423408993067242,0.08928571428571436,0.06012639999270253,0.05572623014450073
