sample_id,modality,modality_index,start_position,end_position_exclusive,masked_effective_positions,raw_zero_fraction,delta_predicted_class_probability,delta_strength
04,vision,2,5,8,3,0.0,-0.0005533695220947266,-0.001039743423461914
04,vision,2,6,9,3,0.0,-3.629922866821289e-05,0.001786351203918457
04,vision,2,7,10,3,0.0,6.157159805297852e-05,0.002865135669708252
04,vision,2,8,11,3,0.0,-0.0011160969734191895,-0.0013076066970825195
04,vision,2,9,12,3,0.0,-0.00301516056060791,-0.007298469543457031
04,vision,2,10,13,3,0.0,-0.0038220882415771484,-0.00979846715927124
04,vision,2,11,14,3,0.0,-0.0008627176284790039,-0.0024167299270629883
04,vision,2,12,15,3,0.0,0.008928239345550537,0.026932716369628906
04,vision,2,13,16,3,0.0,0.015661537647247314,0.04743635654449463
04,vision,2,14,17,3,0.0,0.014242470264434814,0.042881548404693604
04,vision,2,15,18,3,0.0,0.009616494178771973,0.028654396533966064
04,vision,2,16,19,3,0.0,0.0013129115104675293,0.004028022289276123
04,vision,2,17,20,3,0.0,0.0017499327659606934,0.0046120285987854
04,vision,2,18,21,3,0.0,0.0013633966445922852,0.003803730010986328
04,vision,2,19,22,3,0.0,0.0026961565017700195,0.008562982082366943
04,vision,2,20,23,3,0.0,0.0053449273109436035,0.01637566089630127
04,vision,2,21,24,3,0.0,0.00790482759475708,0.023380637168884277
04,vision,2,22,25,3,0.0,0.008965909481048584,0.025463402271270752
04,vision,2,23,26,3,0.0,0.006848335266113281,0.019963383674621582
04,vision,2,24,27,3,0.0,0.0019261837005615234,0.0048479437828063965
05,text,0,1,4,3,0.0,0.05512571334838867,0.0857701301574707
05,text,0,2,5,3,0.0,0.05404740571975708,0.07796156406402588
05,text,0,3,6,3,0.0,-0.02100086212158203,-0.038275301456451416
05,text,0,4,7,3,0.0,-0.057584524154663086,-0.12917011976242065
05,text,0,5,8,3,0.0,-0.04211145639419556,-0.0952446460723877
05,text,0,6,9,3,0.0,0.021389126777648926,0.022132575511932373
05,text,0,7,10,3,0.0,0.004544556140899658,0.00578618049621582
05,text,0,8,11,3,0.0,0.002576887607574463,0.0010339021682739258
05,text,0,9,12,3,0.0,0.04925602674484253,0.053761839866638184
05,text,0,10,13,3,0.0,0.008560776710510254,0.009502410888671875
05,text,0,11,14,3,0.0,-0.03299438953399658,-0.0468212366104126
05,text,0,12,15,3,0.0,0.010924696922302246,0.004719376564025879
05,text,0,13,16,3,0.0,0.0675499439239502,0.08083134889602661
05,audio,1,1,4,3,0.0,-0.004952669143676758,-0.010017871856689453
05,audio,1,2,5,3,0.0,0.002328217029571533,0.005968570709228516
05,audio,1,3,6,3,0.0,0.01812201738357544,0.03251683712005615
05,audio,1,4,7,3,0.0,0.02858126163482666,0.051764607429504395
05,audio,1,5,8,3,0.0,0.029314637184143066,0.0519181489944458
05,audio,1,6,9,3,0.0,0.019488990306854248,0.0345768928527832
05,audio,1,7,10,3,0.0,0.016723036766052246,0.02702617645263672
05,audio,1,8,11,3,0.0,0.009285211563110352,0.014589548110961914
05,audio,1,9,12,3,0.0,0.005442678928375244,0.009675979614257812
05,audio,1,10,13,3,0.0,0.0023415088653564453,0.005162954330444336
05,audio,1,11,14,3,0.0,-0.0027636289596557617,0.00037384033203125
05,audio,1,12,15,3,0.0,-8.422136306762695e-05,0.00911027193069458
05,audio,1,13,16,3,0.0,0.00481569766998291,0.01628851890563965
05,vision,2,1,4,3,0.0,0.020549416542053223,0.03789412975311279
05,vision,2,2,5,3,0.0,0.03365755081176758,0.0597379207611084
05,vision,2,3,6,3,0.0,0.023788154125213623,0.04394334554672241
05,vision,2,4,7,3,0.0,0.009017586708068848,0.017066240310668945
05,vision,2,5,8,3,0.0,0.006434440612792969,0.012118756771087646
05,vision,2,6,9,3,0.0,0.0038652420043945312,0.007127583026885986
05,vision,2,7,10,3,0.0,0.0006203651428222656,0.0016843080520629883
05,vision,2,8,11,3,0.0,-0.0034891366958618164,-0.005396842956542969
05,vision,2,9,12,3,0.0,-0.00672835111618042,-0.010372281074523926
05,vision,2,10,13,3,0.0,-0.007217764854431152,-0.011763572692871094
05,vision,2,11,14,3,0.0,-0.01876246929168701,-0.03277301788330078
05,vision,2,12,15,3,0.0,-0.020591676235198975,-0.03850674629211426
05,vision,2,13,16,3,0.0,-0.021135926246643066,-0.04156291484832764
06,text,0,1,4,3,0.0,-0.02446657419204712,-0.04634788632392883
06,text,0,2,5,3,0.0,-0.013308942317962646,-0.04419761896133423
06,text,0,3,6,3,0.0,-0.04435151815414429,-0.09958773851394653
06,text,0,4,7,3,0.0,0.012248456478118896,0.014596164226531982
06,text,0,5,8,3,0.0,0.04438650608062744,0.0871444046497345
06,text,0,6,9,3,0.0,0.059811949729919434,0.14168167114257812
06,text,0,7,10,3,0.0,0.03566068410873413,0.08408820629119873
06,text,0,8,11,3,0.0,0.027872562408447266,0.06323981285095215
06,text,0,9,12,3,0.0,0.008642852306365967,0.013130664825439453
06,text,0,10,13,3,0.0,0.022383570671081543,0.033990561962127686
06,text,0,11,14,3,0.0,0.0008040666580200195,-0.003501385450363159
06,text,0,12,15,3,0.0,-0.001973092555999756,-0.0575556755065918
06,text,0,13,16,3,0.0,-0.03857004642486572,-0.07266196608543396
06,text,0,14,17,3,0.0,0.006666004657745361,-0.01564064621925354
06,text,0,15,18,3,0.0,0.01489943265914917,-0.02511844038963318
06,text,0,16,19,3,0.0,0.05723601579666138,0.07232171297073364
06,text,0,17,20,3,0.0,0.053686439990997314,0.073687344789505
06,text,0,18,21,3,0.0,0.05670881271362305,0.10730087757110596
06,text,0,19,22,3,0.0,0.08669960498809814,0.18303945660591125
06,text,0,20,23,3,0.0,0.12392336130142212,0.27143263816833496
06,text,0,21,24,3,0.0,0.15170934796333313,0.3223136365413666
06,text,0,22,25,3,0.0,0.0937882661819458,0.16144272685050964
06,text,0,23,26,3,0.0,0.05100536346435547,0.07459869980812073
06,text,0,24,27,3,0.0,0.0004106760025024414,-0.05016136169433594
06,text,0,25,28,3,0.0,-0.058744728565216064,-0.12378758192062378
06,text,0,26,29,3,0.0,-0.09013742208480835,-0.17109405994415283
06,text,0,27,30,3,0.0,-0.09163904190063477,-0.20017051696777344
06,text,0,28,31,3,0.0,-0.07009661197662354,-0.14746350049972534
06,text,0,29,32,3,0.0,-0.06687992811203003,-0.13604700565338135
06,text,0,30,33,3,0.0,-0.07008504867553711,-0.11329042911529541
06,text,0,31,34,3,0.0,-0.046165525913238525,-0.07691317796707153
06,text,0,32,35,3,0.0,-0.014926910400390625,-0.03666353225708008
06,text,0,33,36,3,0.0,0.005369603633880615,-0.011403501033782959
06,audio,1,1,4,3,0.0,0.005611062049865723,0.00933346152305603
06,audio,1,2,5,3,0.0,0.006186068058013916,0.010115593671798706
06,audio,1,3,6,3,0.0,0.004125356674194336,0.0064318180084228516
06,audio,1,4,7,3,0.0,0.0008362531661987305,-0.0010997653007507324
06,audio,1,5,8,3,0.0,0.001514434814453125,0.00048807263374328613
06,audio,1,6,9,3,0.0,0.0013478994369506836,7.891654968261719e-05
06,audio,1,7,10,3,0.0,0.0040007829666137695,0.006637483835220337
06,audio,1,8,11,3,0.0,0.005782961845397949,0.011554449796676636
06,audio,1,9,12,3,0.0,0.006043493747711182,0.012247979640960693
06,audio,1,10,13,3,0.0,0.009598791599273682,0.018228530883789062
06,audio,1,11,14,3,0.0,0.010675668716430664,0.01924586296081543
06,audio,1,12,15,3,0.0,0.007926583290100098,0.013853490352630615
06,audio,1,13,16,3,0.0,0.0029460787773132324,0.0064345598220825195
06,audio,1,14,17,3,0.0,0.00018173456192016602,0.0007498264312744141
06,audio,1,15,18,3,0.0,0.000583946704864502,0.0029172301292419434
06,audio,1,16,19,3,0.0,-0.0003554224967956543,0.003354310989379883
06,audio,1,17,20,3,0.0,-0.0003711581230163574,0.0027498602867126465
06,audio,1,18,21,3,0.0,0.006205201148986816,0.015490800142288208
06,audio,1,19,22,3,0.0,0.010875999927520752,0.026224613189697266
06,audio,1,20,23,3,0.0,0.009781241416931152,0.021186232566833496
06,audio,1,21,24,3,0.0,0.005381226539611816,0.014309883117675781
06,audio,1,22,25,3,0.0,-0.000713646411895752,0.0017087757587432861
